mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
53.740062618255614,0.17559339940073537,0.04699206352233887,0.0010411576489694112,relu,0.0001,"(50,)","{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.9007828144911706,0.9051520116511924,0.9038601602330663,0.9027676620538966,0.894027676620539,0.9013180650099729,0.003916605227679099,4,0.950109249817917,0.9435748088824172,0.9399126001456665,0.9475600873998543,0.9326292789512017,0.9427572050394113,0.0061393058449186015,7,0.9054311990282838,0.9086765994741455,0.9072056239015818,0.9069362147089578,0.8979663394109397,0.9052431953047817,0.0037813670012431574,4
63.44913511276245,5.053385241658258,0.07475876808166504,0.01720147928936993,relu,0.0001,"(100,)","{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",0.9104314582195522,0.8987802657928272,0.9080480699198835,0.9062272396212673,0.8983976693372178,0.9043769405781497,0.004911872031884684,2,0.9537509104151493,0.9373862395340371,0.9384559359067735,0.9468317552804079,0.9351784413692644,0.9423206565011265,0.006946891244330549,8,0.9141361256544502,0.902558710129688,0.9107616186605407,0.9098862642169728,0.9020021074815595,0.9078689652286422,0.004781904807264182,2
52.14222683906555,6.180605455269387,0.04889354705810547,0.0008528975605556205,relu,0.0001,"(50, 25)","{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 25)}",0.914800655379574,0.9036956125978518,0.9016751638747269,0.8962126729788784,0.8845593590677349,0.9001886927797532,0.009880307077048853,6,0.9526584122359796,0.9468511103021477,0.9428259286234523,0.9464675892206846,0.9373634377276038,0.9452332956219737,0.005039905572566578,4,0.9178947368421052,0.9076949921479672,0.9055613850996852,0.9011789181692095,0.8903493600830162,0.9045358784683966,0.008966797047877523,6
53.409244537353516,0.32442426828645093,0.04867806434631348,0.003239596923684648,relu,0.001,"(50,)","{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,)}",0.90533406153286,0.9016930638995084,0.9020393299344501,0.9004005826656956,0.8916605972323379,0.9002255270529703,0.004581033444997709,5,0.9599417334304443,0.9479432107753913,0.9406409322651129,0.9461034231609614,0.9355426074289876,0.9460343814121795,0.008200359156491178,2,0.9102209944751382,0.906054279749478,0.905680224403927,0.9047536130942017,0.8962148962148963,0.9045848015875283,0.004587151638066444,5
64.07712240219116,8.456714241923569,0.06359319686889649,0.008084049865141062,relu,0.001,"(100,)","{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,)}",0.9153468050245768,0.910067358456217,0.9113255644573925,0.9115076474872542,0.9033139111434815,0.9103122573137844,0.003920184798097958,1,0.9552075746540423,0.9523116126683655,0.9468317552804079,0.950109249817917,0.9337217771303714,0.9476363939102207,0.007477425600927134,1,0.9185781824549116,0.9137268599371289,0.9143660981185159,0.914796633941094,0.9061671673440537,0.9135269883591409,0.004050619234314859,1
52.503918695449826,3.007289197108837,0.047565364837646486,0.004509772989135427,relu,0.001,"(50, 25)","{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 25)}",0.9024212634261788,0.907518660112871,0.9004005826656956,0.9040422432629279,0.8840131099781501,0.8996791718891647,0.008172624581219715,8,0.9482884195193008,0.9504914452129596,0.9446467589220685,0.9508375819373635,0.9198834668608885,0.9428295344905161,0.011682957244509767,6,0.9066852367688022,0.9113438045375218,0.9046207497820401,0.9083318838058793,0.888029530673229,0.9038022411134945,0.008187220002183521,8
52.19423336982727,0.3393412290716714,0.058329105377197266,0.01809901914932113,tanh,0.0001,"(50,)","{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.893682869106135,0.9002366648461678,0.869810633648944,0.8685360524399126,0.8898397669337218,0.8844211973949763,0.012892438657224297,12,0.9464675892206846,0.9428467419002549,0.9020393299344501,0.911143481427531,0.9311726147123088,0.9267339514390459,0.01744492645230899,12,0.8989968868903494,0.9043296089385475,0.8738754630446287,0.8739084876004192,0.8942122748732296,0.8890645442694349,0.01279521005586736,12
59.747404146194455,2.2724190642170394,0.06196999549865723,0.0005761320314847746,tanh,0.0001,"(100,)","{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",0.9062443109411978,0.9035135627161842,0.8991260014566642,0.905863073561544,0.8965768390386016,0.9022647575428383,0.003809158554357579,3,0.9504734158776402,0.9512195121951219,0.9431900946831755,0.9457392571012382,0.9359067734887109,0.9453058106691774,0.005562050686413651,3,0.9102005231037489,0.907922168172342,0.9033833275200558,0.9094729469444931,0.900490539593553,0.9062939010668385,0.0037461907308415907,3
38.97372341156006,1.1186787757834833,0.050355386734008786,0.0004821383107039659,tanh,0.0001,"(50, 25)","{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 25)}",0.889859821591116,0.8949572182778082,0.8898397669337218,0.8954843408594318,0.8891114348142753,0.8918505164952706,0.002770011694237178,10,0.9468317552804079,0.9453949763378231,0.9362709395484341,0.9388201019664967,0.9275309541150765,0.9389697454496476,0.006946174259341174,11,0.8957795004306632,0.9000173280194074,0.8947276840090482,0.899825479930192,0.8932140978432404,0.8967128180465102,0.002744497481966833,10
52.87411198616028,0.6576127495275135,0.04849119186401367,0.0010756548525332388,tanh,0.001,"(50,)","{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50,)}",0.8922264700527944,0.9016930638995084,0.8909322651128915,0.8971230881281864,0.8912964311726147,0.8946542636731991,0.004163227043139162,9,0.948652585579024,0.9457590098289043,0.9340859431900946,0.9380917698470502,0.932993445010925,0.9399165506911995,0.006256322171346366,10,0.8979662185453292,0.9058577405857741,0.8954442311049049,0.9011719433269197,0.8956476140534871,0.899217549523283,0.003910498506519206,9
